Posittion,RaceName,SeasonYear,RaceNumber,RaceDate,DriverFirstName,DriverLastName,DriverID,StartingGridNumb,ConstructorName
2,Monaco Grand Prix,2016,6,2016-05-29,Daniel,Ricciardo,ricciardo,1,Red Bull
2,Canadian Grand Prix,2016,7,2016-06-12,Sebastian,Vettel,vettel,3,Ferrari
2,European Grand Prix,2016,8,2016-06-19,Sebastian,Vettel,vettel,3,Ferrari
2,Austrian Grand Prix,2016,9,2016-07-03,Max,Verstappen,max_verstappen,8,Red Bull
2,British Grand Prix,2016,10,2016-07-10,Max,Verstappen,max_verstappen,3,Red Bull
2,Hungarian Grand Prix,2016,11,2016-07-24,Nico,Rosberg,rosberg,1,Mercedes
2,German Grand Prix,2016,12,2016-07-31,Daniel,Ricciardo,ricciardo,3,Red Bull
2,Belgian Grand Prix,2016,13,2016-08-28,Daniel,Ricciardo,ricciardo,5,Red Bull
2,Italian Grand Prix,2016,14,2016-09-04,Lewis,Hamilton,hamilton,1,Mercedes
2,Singapore Grand Prix,2016,15,2016-09-18,Daniel,Ricciardo,ricciardo,2,Red Bull
2,Malaysian Grand Prix,2016,16,2016-10-02,Max,Verstappen,max_verstappen,3,Red Bull
2,Japanese Grand Prix,2016,17,2016-10-09,Max,Verstappen,max_verstappen,3,Red Bull
2,United States Grand Prix,2016,18,2016-10-23,Nico,Rosberg,rosberg,2,Mercedes
2,Mexican Grand Prix,2016,19,2016-10-30,Nico,Rosberg,rosberg,2,Mercedes
2,Brazilian Grand Prix,2016,20,2016-11-13,Nico,Rosberg,rosberg,2,Mercedes
2,Abu Dhabi Grand Prix,2016,21,2016-11-27,Nico,Rosberg,rosberg,2,Mercedes
2,Australian Grand Prix,2017,1,2017-03-26,Lewis,Hamilton,hamilton,1,Mercedes
2,Chinese Grand Prix,2017,2,2017-04-09,Sebastian,Vettel,vettel,2,Ferrari
2,Bahrain Grand Prix,2017,3,2017-04-16,Lewis,Hamilton,hamilton,2,Mercedes
2,Russian Grand Prix,2017,4,2017-04-30,Sebastian,Vettel,vettel,1,Ferrari
2,Spanish Grand Prix,2017,5,2017-05-14,Sebastian,Vettel,vettel,2,Ferrari
2,Monaco Grand Prix,2017,6,2017-05-28,Kimi,Räikkönen,raikkonen,1,Ferrari
2,Canadian Grand Prix,2017,7,2017-06-11,Valtteri,Bottas,bottas,3,Mercedes
2,Azerbaijan Grand Prix,2017,8,2017-06-25,Valtteri,Bottas,bottas,2,Mercedes
2,Austrian Grand Prix,2017,9,2017-07-09,Sebastian,Vettel,vettel,2,Ferrari
2,British Grand Prix,2017,10,2017-07-16,Valtteri,Bottas,bottas,9,Mercedes
2,Hungarian Grand Prix,2017,11,2017-07-30,Kimi,Räikkönen,raikkonen,2,Ferrari
2,Belgian Grand Prix,2017,12,2017-08-27,Sebastian,Vettel,vettel,2,Ferrari
2,Italian Grand Prix,2017,13,2017-09-03,Valtteri,Bottas,bottas,4,Mercedes
2,Singapore Grand Prix,2017,14,2017-09-17,Daniel,Ricciardo,ricciardo,3,Red Bull
2,Malaysian Grand Prix,2017,15,2017-10-01,Lewis,Hamilton,hamilton,1,Mercedes
2,Japanese Grand Prix,2017,16,2017-10-08,Max,Verstappen,max_verstappen,4,Red Bull
2,United States Grand Prix,2017,17,2017-10-22,Sebastian,Vettel,vettel,2,Ferrari
2,Mexican Grand Prix,2017,18,2017-10-29,Valtteri,Bottas,bottas,4,Mercedes
2,Brazilian Grand Prix,2017,19,2017-11-12,Valtteri,Bottas,bottas,1,Mercedes
2,Abu Dhabi Grand Prix,2017,20,2017-11-26,Lewis,Hamilton,hamilton,2,Mercedes
2,Australian Grand Prix,2018,1,2018-03-25,Lewis,Hamilton,hamilton,1,Mercedes
2,Bahrain Grand Prix,2018,2,2018-04-08,Valtteri,Bottas,bottas,3,Mercedes
2,Chinese Grand Prix,2018,3,2018-04-15,Valtteri,Bottas,bottas,3,Mercedes
2,Azerbaijan Grand Prix,2018,4,2018-04-29,Kimi,Räikkönen,raikkonen,6,Ferrari
2,Spanish Grand Prix,2018,5,2018-05-13,Valtteri,Bottas,bottas,2,Mercedes
2,Monaco Grand Prix,2018,6,2018-05-27,Sebastian,Vettel,vettel,2,Ferrari
2,Canadian Grand Prix,2018,7,2018-06-10,Valtteri,Bottas,bottas,2,Mercedes
2,French Grand Prix,2018,8,2018-06-24,Max,Verstappen,max_verstappen,4,Red Bull
2,Austrian Grand Prix,2018,9,2018-07-01,Kimi,Räikkönen,raikkonen,3,Ferrari
2,British Grand Prix,2018,10,2018-07-08,Lewis,Hamilton,hamilton,1,Mercedes
2,German Grand Prix,2018,11,2018-07-22,Valtteri,Bottas,bottas,2,Mercedes
2,Hungarian Grand Prix,2018,12,2018-07-29,Sebastian,Vettel,vettel,4,Ferrari
2,Belgian Grand Prix,2018,13,2018-08-26,Lewis,Hamilton,hamilton,1,Mercedes
2,Italian Grand Prix,2018,14,2018-09-02,Kimi,Räikkönen,raikkonen,1,Ferrari
2,Singapore Grand Prix,2018,15,2018-09-16,Max,Verstappen,max_verstappen,2,Red Bull
2,Russian Grand Prix,2018,16,2018-09-30,Valtteri,Bottas,bottas,1,Mercedes
2,Japanese Grand Prix,2018,17,2018-10-07,Valtteri,Bottas,bottas,2,Mercedes
2,United States Grand Prix,2018,18,2018-10-21,Max,Verstappen,max_verstappen,18,Red Bull
2,Mexican Grand Prix,2018,19,2018-10-28,Sebastian,Vettel,vettel,4,Ferrari
